Name,AlbanyNY,AtlantaGA,AustinTX,BaltimoreMD,BatonRougeLA,BeaumontTX,BirminghamAL,BostonMA,BuffaloNY,CharlestonSC,CharlotteNC,ChicagoIL,CincinnatiOH,ClevelandOH,ColumbusOH,CorpusChristiTX,DallasTX,DaytonOH,DenverCO,DetroitMI,ElPasoTX,FortWayneIN,FresnoCA,GrandRapidsMI,GreensboroNC,GreenvilleSC,HartfordCT,HoustonTX,IndianapolisIN,JacksonvilleFL,KansasCityMO,KnoxvilleTN,LakeCharlesLA,LaredoTX,LasVegasNV,LosAngelesCA,Louisville/JeffersonCountyKY,MemphisTN,MiamiFL,MilwaukeeWI,MinneapolisMN,MobileAL,NashvilleTN,NewOrleansLA,NewYorkNY,OklahomaCityOK,OmahaNE,OrlandoFL,PhiladelphiaPA,PhoenixAZ,PittsburghPA,PortlandOR,RaleighNC,otherAL,otherAK,otherAZ,otherAR,otherCA,otherCO,otherCT,otherDE,otherFL,otherGA,otherHI,otherID,otherIL,otherIN,otherIA,otherKS,otherKY,otherLA,otherME,otherMD,otherMA,otherMI,otherMN,otherMS,otherMO,otherMT,otherNE,otherNV,otherNH,otherNM,otherNY,otherNC,otherND,otherOH,otherOK,otherOR,otherPA,otherSC,otherSD,otherTN,otherTX,otherUT,otherVT,otherVA,otherWA,otherWV,otherWI,otherWY,RichmondVA,RochesterNY,SacramentoCA,SaltLakeCityUT,SanAntonioTX,SanDiegoCA,SanJoseCA,SavannahGA,SeattleWA,St.LouisMO,TampaFL,TucsonAZ,TulsaOK,UrbanHonoluluHI,VirginiaBeachVA,WashingtonDC,WichitaKS
AlbanyNY,0,0,,0,,,,0,,,,0,0,,,,,,,0,,,,,,,,25,,,0,,,,,,,,,,,,,0,4,,,,0,,3,0,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0,,,,0,,0,0,,,,,0,,,,,,,23,,,,,,,,0,0,,,,,0,
AtlantaGA,,0,,,,,269,0,,0,,0,0,0,,,20,,,,,,,,,0,,,,,0,0,,,,,0,,,,,0,,,0,,,,0,,0,0,,0,,,,,,,,,103,,,,,,,,0,,,,,,63,,,,,,,,,,,0,,0,0,,0,,,,0,,,,,,,,,,,,0,,0,0,,,,,0,
AustinTX,,,0,0,,,0,0,,,,0,0,0,,1,0,,,,,,,,,,,0,0,,0,0,,,,0,,,,,,,,0,0,0,,,0,,,0,,1,,,,,,,,,,,,,1,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,0,,,,,,0,
BaltimoreMD,,,,828,,,,0,,0,,0,0,,0,,,,,38,,0,,,,,,0,,,0,,,,,0,,,,,,,0,,0,,,,0,,5,0,,,,,,,,,,,,,,,,,,7,,,0,,0,,0,,,,,,,,201,,,,,0,,,,,,,,,,,,215,,,,,,,,,0,,,,,181,0,
BatonRougeLA,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,0,,,0,,0,,,,,,,,,,,,0,,,,0,,,0,,,,,0,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,
BeaumontTX,,,,,,82,,0,,,,0,0,,,,,,,,,,,,,,,27,,,0,,,,,,,,,,,,,0,0,,,,0,,,0,,,,,3,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,6,,,,,1,,,,,0,0,
BirminghamAL,,,,,,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,0,0,,,,0,,,0,,14,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,0,
BostonMA,0,0,0,0,0,0,0,78,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,0,0,0,8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BuffaloNY,0,,,3,,,,0,156,,0,0,0,0,,,,,,0,,0,,,,,,,,,0,0,,,,,,,,,,,,,0,,,,4,,30,0,,,,,,,,,,,,,,,,0,,2,,0,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,0,
CharlestonSC,,0,,,,,,0,,252,0,0,0,0,0,,,,,,,,,,,,,,,,0,,,,,,4,,,,,,,0,0,,,,0,,2,0,2,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,0,1,,,,,,0,,,,,,,,,,,,0,,0,7,,,,,0,
