id,label,latitude,longitude
0,"Albany-Schenectady, NY CFS Area; New York",31.5785074,-84.155741
1,"Atlanta-Athens-Clarke County-Sandy Springs, GA CFS Area; Georgia",33.7489954,-84.3879824
2,"Austin-Round Rock, TX CFS Area; Texas",43.6666296,-92.9746367
3,"Baltimore-Columbia-Towson, MD CFS Area; Maryland",39.2903848,-76.6121893
4,"Baton Rouge, LA CFS Area; Louisiana",30.4507462,-91.154551
5,"Beaumont-Port Arthur, TX CFS Area; Texas",31.054487,-97.563461
6,"Birmingham-Hoover-Talladega, AL CFS Area; Alabama",33.5206608,-86.80249
7,"Boston-Worcester-Providence, MA-RI-NH-CT CFS Area (MA Part); Massachusetts",42.230171,-71.530106
8,"Boston-Worcester-Providence, MA-RI-NH-CT CFS Area (NH Part); New Hampshire",43.452492,-71.563896
9,"Boston-Worcester-Providence, MA-RI-NH-CT CFS Area (RI Part); Rhode Island",41.680893,-71.51178
10,"Buffalo-Cheektowaga, NY CFS Area; New York",42.8864468,-78.8783689
11,"Charleston-North Charleston-Summerville, SC CFS Area; South Carolina",32.7765656,-79.9309216
12,"Charlotte-Concord, NC-SC CFS Area (NC Part); North Carolina",35.2270869,-80.8431267
13,"Chicago-Naperville, IL-IN-WI CFS Area (IL Part); Illinois",41.850033,-87.6500523
14,"Chicago-Naperville, IL-IN-WI CFS Area (IN Part); Indiana",41.850033,-87.6500523
15,"Cincinnati-Wilmington-Maysville, OH-KY-IN CFS Area (KY Part); Kentucky",39.1361111,-84.5030556
16,"Cincinnati-Wilmington-Maysville, OH-KY-IN CFS Area (OH Part); Ohio",39.1361111,-84.5030556
17,"Cleveland-Akron-Canton, OH CFS Area; Ohio",40.388783,-82.764915
18,"Columbus-Marion-Zanesville, OH CFS Area; Ohio",32.4609764,-84.9877094
19,"Corpus Christi-Kingsville-Alice, TX CFS Area; Texas",27.8005828,-97.396381
20,"Dallas-Fort Worth, TX-OK CFS Area (TX Part); Texas",31.054487,-97.563461
21,"Dayton-Springfield-Sidney, OH CFS Area; Ohio",39.7589478,-84.1916069
22,"Denver-Aurora, CO CFS Area; Colorado",39.7391536,-104.9847034
23,"Detroit-Warren-Ann Arbor, MI CFS Area; Michigan",42.331427,-83.0457538
24,"El Paso-Las Cruces, TX-NM CFS Area (TX Part); Texas",31.7587198,-106.4869314
25,"Fort Wayne-Huntington-Auburn, IN CFS Area; Indiana",39.849426,-86.258278
26,"Fresno-Madera, CA CFS Area; California",36.116203,-119.681564
27,"Grand Rapids-Wyoming-Muskegon, MI CFS Area; Michigan",43.326618,-84.536095
28,"Greensboro--Winston-Salem--High Point, NC CFS Area; North Carolina",35.630066,-79.806419
29,"Greenville-Spartanburg-Anderson, SC CFS Area; South Carolina",33.4101161,-91.0617735
30,"Hartford-West Hartford-East Hartford, CT CFS Area; Connecticut",41.7637111,-72.6850932
31,"Houston-The Woodlands, TX CFS Area; Texas",29.7628844,-95.3830615
32,"Indianapolis-Carmel-Muncie, IN CFS Area; Indiana",39.7683765,-86.1580423
33,"Jacksonville-St. Marys-Palatka, FL-GA CFS Area (FL Part); Florida",30.3321838,-81.655651
34,"Kansas City-Overland Park-Kansas City, MO-KS CFS Area (KS Part); Kansas",39.0997265,-94.5785667
35,"Kansas City-Overland Park-Kansas City, MO-KS CFS Area (MO Part); Missouri",39.0997265,-94.5785667
36,"Knoxville-Morristown-Sevierville, TN CFS Area; Tennessee",35.9606384,-83.9207392
37,"Lake Charles, LA CFS Area; Louisiana",30.2265949,-93.2173758
38,"Laredo, TX  CFS Area; Texas",27.506407,-99.5075421
39,"Las Vegas-Henderson, NV-AZ CFS Area (NV Part); Nevada",36.114646,-115.172816
40,"Los Angeles-Long Beach, CA CFS Area; California",34.0522342,-118.2436849
41,"Louisville/Jefferson County-Elizabethtown-Madison, KY-IN CFS Area (KY Part); Kentucky",37.66814,-84.670067
42,"Memphis, TN-MS-AR CFS Area (TN Part); Tennessee",35.1495343,-90.0489801
43,"Miami-Fort Lauderdale-Port St. Lucie, FL CFS Area; Florida",27.766279,-81.686783
44,"Milwaukee-Racine-Waukesha, WI CFS Area; Wisconsin",43.0389025,-87.9064736
45,"Minneapolis-St. Paul, MN-WI CFS Area (MN Part); Minnesota",45.694454,-93.900192
46,"Mobile-Daphne-Fairhope, AL CFS Area; Alabama",32.806671,-86.79113
